WHATID,ACTIVITYDATE,Created by,DESCRIPTION,TYPE,STATUS,PRIORITY,OWNER,SUBJECT
1009948,2013-03-01,Rachel Agoglia,"The board approved $8,500 and we tacked on $1,200 to cover SVC (and conference) participation on 3/21/2013",Internal Note,Completed,Normal,00570000003QASWAA4,Post Award Note--2013/03/01 Rachel Agoglia
1010027,2013-03-01,Rachel Agoglia,"The board approved $31,120 and we tacked on $1,022 to cover SVC (and conference) participation on 3/21/2013",Internal Note,Completed,Normal,00570000003QASWAA4,Post Award Note--2013/03/01 Rachel Agoglia
1010074,2013-03-01,Rachel Agoglia,"The board approved $35,780 and we tacked on $1,260 to cover SVC (and conference) participation on 3/21/2013",Internal Note,Completed,Normal,00570000003QASWAA4,Post Award Note--2013/03/01 Rachel Agoglia
1010075,2013-03-01,Rachel Agoglia,"The board approved $42,533 and we tacked on $1,257 to cover SVC (and conference) participation on 3/21/2013",Internal Note,Completed,Normal,00570000003QASWAA4,Post Award Note--2013/03/01 Rachel Agoglia
1010074,2013-03-27,Rachel Agoglia,Original award letter sent on 3/11 but language change request was made (and approved) re: section 8 - revised award ltr emailed to Ken Frost Kenneth.Frost@asu.edu,Internal Note,Completed,Normal,00570000003QASWAA4,Post Award Note--2013/03/27 Rachel Agoglia
1009948,2013-04-01,Emily Hodos,Award letter received on 3/25/13. Signed ltr attached below.,Internal Note,Completed,Normal,00570000004VlXPAA0,Post Award Note--2013/04/01 Emily Hodos
1010027,2013-04-08,Emily Hodos,Award letter received on 4/8/13. See signed award letter attached below.,Internal Note,Completed,Normal,00570000004VlXPAA0,Post Award Note--2013/04/08 Emily Hodos
1009948,2013-04-15,Rachel Agoglia,"Sean had requested some adjustments to the approved budget before NCIIA's conference - Here's what he was interested in seeing (from email sent to JKJ): Student Stipend						- 1,500
Faculty Stipend						-    500
Other Stipend							- 1,000
Travel Expenses						- 1,500
Prototyping							- 4,000 Need to follow up w/ JKJ to see what can be done.",Internal Note,Completed,Normal,00570000003QASWAA4,Post Award Note--2013/04/15 Rachel Agoglia
1010027,2013-04-16,Emily Hodos,"Feedback Call Notes from JKJ 1/8/13: On the call: PALI:

Shared the reviewer’s concerns re the eship component and paths to commercialization. Also told him that a couple of reviewers knew him/had heard him speak at our conf. and were concerned re the speed of commercialization (or lack thereof!)

Pali said that the challenge is the “healthcare is free in Nicaragua so coming up with a paid model in rural communities where they have limited funds is a hard sell. Hope that this will resolve itself in the next couple years, will need to see impact.” 

There are lots of opportunities, Lots of rural areas without electricity. UV disinfection system and suction device are what they are working on now plus a  handmill based generator to grind corn – dev. a prototype. I asked - Who is the entrepreneurial lead on getting the suction device to market? His answer:  Pali is the technical lead and students are trying to get FDA approval and a second generation design. UNI doesn’t have a lot of experience in tech eship – Pali and Jim gave a workshop on this to UNI and have identified a few companies that community members are starting, ie solar backpack – she already has a business. So Pali is helping with the technical side and buying 50 bags to sell on campus at Villanova. He’s down in Nicaragua 3-4 times a year – on a board for the UNI Technology Park. Prof. Mon – would continue to support/jointly advise a team post grant period. This would continue post grant period. 

The Tech Park would help mentor the student groups in terms of commercializing their products. Well supported by UNI. Program is strengthening the tie between tech faculty and students and the Tech Park and will mentor them on the tech transfer process. But they are naïve – think they can run off revenue from businesses. 

Budget question: why the student stipend to dev. curricula? At first he said no that was not the plan and then I pointed to his budget note that clearly says that and he said it was for clerical support/developing powerpoints. 

I shared with Pali that we liked the programmatic/educational model but that we’d like to see an equally strong entrepreneurship program. I think he got the message that if he does get funded this time, we need to see commercial outcomes. 
",Internal Note,Completed,Normal,00570000004VlXPAA0,Post Award Note--2013/04/16 Emily Hodos
1010074,2013-04-16,Emily Hodos,"Feedback Call Notes from JKJ on 1/9/13: On the call Vijay (IIT Dehli) Mark H.

Background
Vijay visited ASU as part of a Fullbright. Co-taught Design for the Dev World with Mark and co-mentored students. Created teams of students from both IIT and ASU. Vijay seems like he has a STRONG eship background and interest – he is currently helping grad students commercialize a household water purification for under $50. Also spinning out his own waste mgmt. solutions company in an off campus incubator. IIT Dehli has both an active TTO (all undergrads own their own IP) and a Tech Business Incubator on campus that has incubated 100+ companies. Learning between ASU and IIT will def. be in both directions.

Q1
Student involvement around idea selection, venture decisions and IP. How will ideas be vetted, projects defined and teams formed? Will the students have the ability to put forth their own ideas? Is there a market/commercialization screening for the proposed projects?

-Yes, all students get to bring in their ideas/projects. Vijay teaches a course of 120 students, not all are creative so for those that don’t come up with their own they give prompts to (from IDDEO and other sources)

Q2
What happens to the technologies/projects post course? Please briefly describe the path to commercialization for the most promising projects after the course ends. List the resources at IIT Dehli and ASU that students can draw upon and, more importantly, is there a structured process to connect teams to these resources?

Q3 
Who is taking the lead on entrepreneurship, as it relates to post course activities?

Budget question answered – student stipend vs. student travel.",Internal Note,Completed,Normal,00570000004VlXPAA0,Post Award Note--2013/04/16 Emily Hodos
